,Modified_Commentary
151,"FOUR, batsman does a ABD. The reverse sccop. Full delivery and close to the yorker length, batsman switches his stances and sends it over the short third man fielder, almost went the distance"
152,"out Caught by Suryakumar Yadav!! A fine knock ends. He provided the much needed impetus to the innings. Deserved a fifty, but that's cricket. Short delivery that caught batsman by a bit of surprise, pulled it towards long-on and Suryakumar takes the easiest of catches. Raina pats him on the back as he trudges off. batsman c Suryakumar Yadav b bowler 47(25) [4s-6 6s-2]"
153,"FOUR, that's a shocker from Kuldeep and he concedes four runs. This was dropped short and wide of off, McCullum backed away and cut it straight to backward point. Kuldeep dived over the ball and ends up conceding a boundary"
154,"FOUR, batsman finishes off in style. Very full and outside off, batsman crouches low, opens the bat face and drives it square on the off-side, the field was up and that was played beautifully"
155,"out Caught by Y Pathan!! batsman falls and team have struck early. A nothing shot from the England opener. This was another long hop from bowler, batsman rocked back on the pull, didn't go through with the shot completely - was perhaps just looking to help it on its way, gets a fat top-edge, high and over mid-wicket. Yusuf ran back and completed an easy catch. batsman looks gutted as he walks off. batsman c Y Pathan b bowler 14(12) [4s-3]"
156,"SIX, massive, tossed up nicely by bowler, fell right into McCullum's hitting zone, he gets forward and clubs it high and over mid-wicket, went a long way over the ropes"
157,"FOUR, cracking shot, poor ball from bowler, drops this one short and wide of off, McCullum makes room and cracks it over cover, couple of bounces and over the ropes"
158,"FOUR, bowler has been too short today, drags his length down once again. McCullum rocks back and pulls him past the square leg umpire"
159,"FOUR, nicely played! Fraction fuller and on the stumps, batsman leans forward, presents the full face of the bat and punches it back at the bowler. bowler got a hand onto it, but it still beats mid-off to the fence"
160,"FOUR, this is excellent cricket from batsman, made room as he came down the track. bowler spotted it and followed him - batsman is good enough to tuck it past square leg, the man in the deep is very square and has no chance"
161,"2 runs, that will go down as a chance, but Kuldeep did very well to get to the ball, got both hands and lost control as he fell down. Would have been a stunner had he held on. This was short and on the stumps, batsman was making room for the pull, gets slightly cramped on the shot, hits it high and over mid-on. Kuldeep ran a long way back, stretched as he got both hands to the ball - but can't complete the finishing act"
162,"FOUR, Kuldeep can't afford to drop short on this pitch. McCullum rocks back and pulls it through mid-wicket, bisects the two men in the deep to a nicety"
163,"SIX, McCullum is in some form alright, comes down the track, doesn't get too close to the ball, allows him a free swing and he deposits it high and into the sightscreen. Another expensive over for the Knight Riders"
164,"FOUR, that ruins the over for bowler, leg-stump half-volley, all batsman had to do was get some bat on that. Once he did - fine-leg, who was inside the ring had no chance"
165,"out Lbw!! Kuldeep has his man. This was tossed up on the leg-stump line, McCullum was looking to turn it towards the on-side, the ball straightened and went past his inside edge, struck him low and in front of leg-stump, would have been crashing into the stumps. Easy call for the umpire and it's also time for the strategic break. batsman lbw b bowler 35(24) [4s-4 6s-2]"
166,"SIX, batsman gets going with a massive hit, Yusuf tosses one on the stumps, batsman gets a big stride forward, lifts it with the spin and sends it high and over deep mid-wicket for a maximum"
167,"SIX, back-to-back sixes from batsman, flighted delivery on the stumps, batsman gets forward and thumps it high and way over the fence at deep mid-wicket"
168,"FOUR, just goes through with a wild slog across the line, no timing whatsoever. All power. To Lynn's delight, it went in the gap behind the square leg umpire. First boundary for team"
169,"SIX, that's the batsman we saw in BBL. Full-blooded swing, clears his front leg, picks the length early and goes bang over mid-wicket"
170,"FOUR, stand and deliver! Half-volley in the slot, batsman won't miss out, watches the ball closely and dismisses it out of his sight"
171,"1 run, advances and compiles a well-deserved fifty with a ease to long-on"
172,"FOUR, both of them have just played themselves in such good form here. Full ball outside off, batsman clears his front leg and crashes it inside-out to send it to the wide long-off fence. Superb hand-eye co-ordination"
173,"FOUR, really ordinary bowling. It's a gentle short of length delivery on off-stump, the ball sits up for batsman who bludgeons it through mid-wicket"
174,"FOUR, awful from bowler. He bangs it in very short but the speedometer just shows 128kph. The ball was actually on its way down when batsman slashed it over backward point. team being clobbered out there"
175,"FOUR, down the track in a flash, right to the pitch of the ball, and driven so beautifully over the covers. The trick in the shot was that he delayed the charge and came out only when the ball was released"
176,"1 run, bowls it short from round the wicket, batsman pulls it away to deep square leg. 150 of the partnership comes up"
177,"SIX, way too many half-trackers from bowler today. Just can't get away with it at this level. Lynn rocks back and blooters it over long-on"
178,"SIX, that about sums their night up. McCullum makes a blunder in the deep and palms the ball over the ropes. A miscue from Lynn off a full toss, should have been taken at long-off"
179,"FOUR, short of length, probably an off-cutter, Lynn mows the ball in front of long-leg who comes running forward for the catch. But the ball drops well short and then bounces over him"
180,"SIX, flat, strong, six! Kulkarni misses his mark, bowls it in the slot and is walloped over long-on. Lynn can do no wrong"
181,"FOUR, that's spanked! The open stance helps him figure the line and length quickly, uses all his might to smash it straight down the ground"
182,"FOUR, batsman and his golf hits I tellya. This isn't off the middle, but that bottom hand power and the baseball swing takes it the distance, just one bounce and over the long-on ropes"
183,"SIX, boy, has he nailed it! You bet. 95-metre smite. bowler serves length and gets smoked for a maximum over long-off"
184,"FOUR, rank long hop, batsman says thank you. Short, down leg, batsman swivels and nails the pull behind square"
